                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.97051,                 0.6404,                0.96387,                0.94706,                0.91411,                0.93962,                0.72907,                0.83954,                0.79035,                0.82938,              0.0017347,              0.0017347,              0.0017347
                     69,                0.99438,                0.64969,                 0.9779,                0.95491,                0.90956,                0.92938,                0.72378,                0.89566,                0.89995,                0.81888,              0.0017307,              0.0017307,              0.0017307
                     70,                0.98638,                0.65083,                0.96189,                0.94794,                0.89372,                0.93332,                 0.7219,                0.84348,                 0.8091,                0.79882,              0.0017268,              0.0017268,              0.0017268
                     71,                0.97376,                0.63454,                0.97083,                0.93704,                0.88957,                0.93286,                0.70913,                0.93083,                 1.0263,                0.83423,              0.0017228,              0.0017228,              0.0017228
                     72,                0.97712,                0.62636,                0.96104,                0.94792,                0.90798,                0.94416,                0.72215,                0.85443,                0.87198,                0.82194,              0.0017188,              0.0017188,              0.0017188
                     73,                0.96187,                0.60699,                 0.9699,                 0.9426,                0.92638,                0.94536,                0.75721,                 0.8098,                0.94373,                0.79531,              0.0017149,              0.0017149,              0.0017149
                     74,                0.96867,                0.63914,                0.96487,                0.95438,                0.89836,                 0.9425,                0.71671,                0.90174,                0.87153,                 0.8268,              0.0017109,              0.0017109,              0.0017109
                     75,                0.93887,                0.62131,                0.96246,                0.94901,                0.93865,                0.95136,                0.75866,                0.79618,                0.84508,                0.78099,               0.001707,               0.001707,               0.001707
                     76,                0.98069,                 0.6004,                0.95944,                0.94265,                0.91411,                0.94945,                0.74309,                0.91436,                0.85516,                0.82437,               0.001703,               0.001703,               0.001703
                     77,                0.95811,                0.62455,                0.99278,                0.93431,                0.91411,                0.94031,                0.74042,                  0.775,                0.58539,                0.78852,               0.001699,               0.001699,               0.001699
                     78,                0.95535,                0.63088,                0.97161,                0.94249,                0.91411,                0.94054,                0.72838,                0.81354,                 0.8816,                0.79387,              0.0016951,              0.0016951,              0.0016951
                     79,                0.96347,                0.64363,                0.96707,                0.95968,                0.92025,                0.94798,                0.73407,                0.88584,                0.94146,                0.83781,              0.0016911,              0.0016911,              0.0016911
                     80,                0.97456,                0.61473,                0.95457,                0.96725,                0.90611,                0.94344,                0.75031,                0.77412,                0.80285,                0.78675,              0.0016872,              0.0016872,              0.0016872
                     81,                0.97044,                0.60226,                0.97453,                0.95804,                0.90184,                0.94013,                0.74099,                0.83875,                0.76863,                0.79677,              0.0016832,              0.0016832,              0.0016832
                     82,                0.95547,                0.60353,                0.95623,                0.95411,                0.92025,                0.92771,                0.72895,                0.80474,                0.69053,                0.79658,              0.0016792,              0.0016792,              0.0016792
                     83,                0.92047,                0.58631,                0.94657,                0.91906,                0.93865,                0.93173,                0.73777,                 0.8641,                0.80125,                0.85283,              0.0016753,              0.0016753,              0.0016753
                     84,                0.96443,                0.60341,                0.96074,                0.94284,                0.93252,                0.94035,                0.73955,                0.71381,                0.76739,                0.77037,              0.0016713,              0.0016713,              0.0016713
                     85,                0.95126,                 0.5822,                0.94868,                0.92093,                0.92891,                0.95212,                0.74333,                0.73833,                0.68025,                0.77357,              0.0016674,              0.0016674,              0.0016674
                     86,                0.94997,                0.59111,                0.97091,                0.94765,                0.93252,                  0.953,                 0.7434,                0.76454,                0.62086,                 0.7812,              0.0016634,              0.0016634,              0.0016634
                     87,                0.96593,                0.62615,                0.96494,                 0.9415,                0.93865,                0.93643,                0.71969,                0.74649,                0.89398,                0.77907,              0.0016594,              0.0016594,              0.0016594
                     88,                0.94078,                0.59796,                0.95544,                0.94967,                  0.926,                0.93869,                0.72028,                0.80813,                0.74595,                0.80722,              0.0016555,              0.0016555,              0.0016555
                     89,                0.90929,                0.57358,                0.94817,                 0.9553,                0.91772,                0.94151,                0.72524,                0.85574,                0.71499,                0.82222,              0.0016515,              0.0016515,              0.0016515
                     90,                0.94685,                0.58732,                 0.9489,                0.96166,                0.93252,                0.93116,                0.73492,                0.81362,                 1.0443,                0.80711,              0.0016476,              0.0016476,              0.0016476
                     91,                0.96709,                0.61143,                 0.9713,                 0.9488,                0.92638,                0.94039,                0.74212,                0.81285,                 0.9364,                0.79962,              0.0016436,              0.0016436,              0.0016436
                     92,                0.95795,                 0.6091,                0.98278,                0.96703,                0.90184,                0.94586,                0.74759,                0.76257,                 0.7322,                0.77931,              0.0016396,              0.0016396,              0.0016396
                     93,                0.93916,                 0.6164,                0.95178,                0.94642,                0.93865,                0.95419,                0.74784,                0.69739,                0.76734,                0.75801,              0.0016357,              0.0016357,              0.0016357
                     94,                0.93696,                0.58474,                0.94622,                0.94923,                 0.9177,                0.94646,                0.75481,                0.74459,                0.79772,                0.77138,              0.0016317,              0.0016317,              0.0016317
                     95,                0.92174,                0.58716,                0.94407,                0.93934,                0.93865,                0.93803,                0.73966,                0.83941,                0.77093,                0.78739,              0.0016278,              0.0016278,              0.0016278
                     96,                0.98642,                0.59738,                0.96991,                0.94815,                0.92025,                0.95123,                0.74066,                0.87498,                0.68795,                0.80716,              0.0016238,              0.0016238,              0.0016238
                     97,                0.97546,                0.62738,                0.97773,                0.94944,                0.92158,                0.95747,                0.73972,                0.77973,                 1.1616,                0.78783,              0.0016198,              0.0016198,              0.0016198
                     98,                 0.9543,                0.59833,                0.96307,                0.94744,                0.90798,                0.94027,                0.71647,                0.80336,                0.84658,                0.79367,              0.0016159,              0.0016159,              0.0016159
                     99,                0.90401,                 0.5755,                0.92357,                0.94125,                0.92638,                0.94478,                0.74307,                0.81372,                0.80188,                  0.796,              0.0016119,              0.0016119,              0.0016119
                    100,                0.92977,                0.58004,                  0.954,                 0.9344,                0.92638,                0.94374,                0.74274,                0.78843,                0.96642,                0.79099,               0.001608,               0.001608,               0.001608
                    101,                0.91837,                 0.5892,                0.94584,                0.93945,                0.93252,                0.94233,                0.73649,                0.78217,                0.75606,                0.77997,               0.001604,               0.001604,               0.001604
                    102,                0.94788,                0.59384,                0.95285,                0.93171,                0.91411,                0.94046,                0.72746,                0.74604,                0.88548,                 0.7695,                 0.0016,                 0.0016,                 0.0016
                    103,                0.97969,                0.61487,                0.97781,                0.95932,                0.92025,                0.95127,                  0.754,                0.75988,                0.86741,                0.76807,              0.0015961,              0.0015961,              0.0015961
                    104,                0.94255,                0.60271,                0.94156,                0.94291,                0.91193,                0.95791,                0.74671,                0.79577,                0.70478,                0.78784,              0.0015921,              0.0015921,              0.0015921
                    105,                0.94472,                0.59806,                0.95196,                0.94996,                0.93174,                0.94529,                0.74318,                0.67106,                0.60727,                0.76254,              0.0015882,              0.0015882,              0.0015882
                    106,                0.90947,                0.57668,                0.94279,                0.94865,                0.92025,                0.93391,                0.74718,                0.75369,                0.63483,                0.77615,              0.0015842,              0.0015842,              0.0015842
                    107,                  0.931,                0.59337,                0.94504,                0.94351,                0.92225,                0.93737,                0.74834,                0.71216,                0.72172,                0.76576,              0.0015802,              0.0015802,              0.0015802
                    108,                 0.9176,                0.57243,                0.95809,                0.92138,                0.93468,                0.94673,                0.74329,                 0.8176,                0.75827,                0.79144,              0.0015763,              0.0015763,              0.0015763
                    109,                0.92788,                0.55706,                0.95289,                0.90355,                0.94479,                0.94651,                0.75896,                0.80913,                0.67292,                0.82259,              0.0015723,              0.0015723,              0.0015723
                    110,                0.94963,                0.58734,                0.96431,                  0.949,                0.91334,                 0.9553,                 0.7504,                0.80646,                0.65706,                0.79336,              0.0015684,              0.0015684,              0.0015684
                    111,                0.90179,                0.56838,                0.93854,                0.95555,                0.91411,                0.95247,                0.75824,                0.77515,                0.63299,                0.78815,              0.0015644,              0.0015644,              0.0015644
                    112,                0.89212,                0.56674,                0.93184,                0.93292,                0.93861,                0.94018,                 0.7398,                0.71918,                0.60045,                0.77301,              0.0015604,              0.0015604,              0.0015604
                    113,                0.92148,                 0.5599,                0.96165,                0.94881,                0.90978,                0.94592,                0.75084,                0.85625,                0.75036,                0.80097,              0.0015565,              0.0015565,              0.0015565
                    114,                0.90223,                0.56537,                0.94253,                0.91942,                0.90999,                0.93973,                0.75287,                0.72712,                0.71186,                0.78611,              0.0015525,              0.0015525,              0.0015525
                    115,                0.95829,                0.56406,                0.94984,                0.94149,                0.91411,                0.94714,                  0.746,                0.74138,                0.79721,                0.77778,              0.0015486,              0.0015486,              0.0015486
                    116,                0.95192,                0.57918,                0.95427,                0.94986,                0.92977,                0.95232,                0.75814,                0.80201,                0.72457,                0.79249,              0.0015446,              0.0015446,              0.0015446
                    117,                0.90481,                0.57251,                0.94768,                0.94326,                0.91791,                0.94713,                0.75112,                0.80856,                0.73634,                0.78948,              0.0015406,              0.0015406,              0.0015406
                    118,                0.89502,                0.56067,                0.93487,                0.94348,                0.92164,                0.93112,                0.73445,                0.79928,                0.70893,                0.79203,              0.0015367,              0.0015367,              0.0015367
                    119,                 0.9215,                0.58098,                0.94299,                0.94924,                0.93865,                0.95265,                0.75442,                0.72946,                0.70148,                0.77505,              0.0015327,              0.0015327,              0.0015327
                    120,                0.88658,                0.56255,                0.93902,                0.94647,                0.93865,                0.95516,                0.75627,                0.74957,                0.66663,                0.77963,              0.0015288,              0.0015288,              0.0015288
                    121,                0.91377,                0.57315,                0.94019,                0.94651,                0.91411,                0.94972,                0.76334,                0.72141,                0.76516,                0.76508,              0.0015248,              0.0015248,              0.0015248
                    122,                0.89721,                 0.5483,                 0.9451,                0.94311,                0.90798,                 0.9467,                0.76912,                0.77468,                0.73862,                0.79849,              0.0015208,              0.0015208,              0.0015208
                    123,                0.91533,                0.53876,                0.93409,                0.94254,                0.93865,                0.94651,                0.76247,                0.78802,                0.73794,                0.78284,              0.0015169,              0.0015169,              0.0015169
                    124,                0.91802,                0.56886,                0.93964,                0.93206,                0.93252,                0.94888,                0.75017,                0.73708,                  0.602,                 0.7704,              0.0015129,              0.0015129,              0.0015129
                    125,                0.92022,                 0.5715,                 0.9394,                0.93047,                0.93252,                  0.935,                0.73094,                0.77112,                0.83219,                0.77762,               0.001509,               0.001509,               0.001509
                    126,                0.88803,                0.54869,                 0.9419,                0.94733,                0.90798,                0.94192,                0.73698,                0.77489,                0.83722,                 0.7703,               0.001505,               0.001505,               0.001505
                    127,                0.87654,                0.54484,                0.92632,                0.94935,                0.92638,                0.93558,                0.74906,                0.74324,                0.85203,                0.79313,               0.001501,               0.001501,               0.001501
                    128,                0.91617,                0.55211,                0.93404,                0.95386,                0.90798,                0.93631,                0.74533,                0.81306,                0.75697,                0.80041,              0.0014971,              0.0014971,              0.0014971
                    129,                0.90715,                0.56976,                0.93764,                0.95581,                0.92894,                0.94348,                0.75504,                0.79576,                0.85665,                0.78946,              0.0014931,              0.0014931,              0.0014931
